Rec,Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F ,Total duration of F ,Mean duration of F,Mean Duration of pd,Average number of pd per probe ,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
"8h_28,800s_4pm_8-29-2021-ch1",zt8,6.9,5,0,NA,NA,4.7,7,2125.8,0,NA,NA,0,16,3,8,5,2038.1,8.3,88.3,24990,2062.3,698,22927.7,128.9,2866,5,15,5,37,3680.1,3810,129.9,174.3,28670.1,26,245.3,2837.3,557.7,17426.9,12.8,7.2,80,0,0,62.5
"8h_28,800s_4pm_8-29-2021-ch3",zt8,232.1,2,2,1398.5,699.2,4.9,10,2566.7,0,NA,NA,9,13,7,5,3,213.2,14,46.2,14076.6,1972.3,1342.4,12104.3,151.7,2420.9,11,24,11,112,12822.3,14723.4,502.6,552.5,28297.4,45.7,534.3,2576.4,828.9,9301,45.3,7,42.8,4.9,0,60
"8h_28,800s_4pm_8-29-2021-ch5",zt8,305.7,7,0,NA,NA,3.7,3,2871.2,1,1803.6,1803.6,2,4,3,1,1,50.8,3.9,100,21361.8,832.9,409.1,20528.9,208.2,20528.9,9,13,9,24,4797,7438.2,837.6,87.6,27962.5,93.1,369,8271.1,1375.7,20528.9,17.2,3,73.4,0,6.5,100
"8h_28,800s_4pm_8-29-2021-ch6",zt8,637,4,0,NA,NA,5,8,12416.3,0,NA,NA,3,14,1,13,3,992.3,2.5,31.8,5334.8,132.6,22.3,5202.1,9.5,400.2,7,21,7,58,22295.4,23465.2,1169.9,289.1,27630.2,167.1,1061.7,12439,87,2042.5,80.7,0.5,18.8,0,0,23.1
"8h_28,800s_4pm_8-29-2021-ch8",zt8,323.3,4,2,810.5,405.2,4.3,3,3414.6,0,NA,NA,0,1,0,1,1,22967.4,1.3,90.4,22967.4,287.6,NA,22679.8,287.6,22679.8,4,7,5,13,2047.8,5832.6,2974.4,56.2,25825.6,594.9,292.5,3702.2,391.7,22679.8,7.9,1.1,87.8,3.1,0,100
"8h_28,800s_4pm_9-2-2021-ch1",zt8,719.9,1,0,NA,NA,4.2,15,3166.7,0,NA,NA,3,7,3,4,2,975.9,11.7,85.7,20253.9,2371.6,1441.5,17882.3,338.8,4470.6,4,9,4,58,7351.3,8546.1,1194.7,240.7,27605.3,298.7,816.8,7938.7,14.9,14673.2,26.6,8.6,64.8,0,0,50
"8h_28,800s_4pm_9-2-2021-ch2",zt8,376.7,5,0,NA,NA,4.4,6,4301.5,0,NA,NA,0,4,1,2,2,657.5,4.8,93.8,24092.5,1164.8,337,22927.8,291.2,11463.9,5,7,5,32,3773.4,4707.5,934,139.3,27866,186.8,539.1,4346.8,116.4,22315.6,13.5,4.2,82.3,0,0,100
"8h_28,800s_4pm_9-2-2021-ch5",zt8,1225.7,1,0,NA,NA,5.4,12,7861.9,1,5485.5,5485.5,0,2,0,2,2,1755.5,0.4,99.2,20802.4,76,NA,20726.3,38,10363.2,1,3,1,12,1286.4,7997.7,1225.7,65.2,27574.3,1225.7,428.8,7897.3,257.7,19006.3,4.7,0.3,75.2,0,19.9,100
"8h_28,800s_4pm_9-2-2021-ch7",zt8,3167.5,6,2,2014.6,1007.3,5.4,4,11732.5,1,4818.6,4818.6,0,7,0,5,1,88.2,22.2,52.1,11404,2530.7,NA,8873.3,361.5,1774.7,6,10,6,25,3693.5,17396,6869.4,133.9,21930.7,1144.9,369.3,11771.3,1162.9,8524.8,16.8,11.5,40.5,9.2,22,20
"8hour_28,800s_4pm_9-4-2021_ch7",zt8,770.1,1,0,NA,NA,4.3,14,1726.6,0,NA,NA,6,8,5,2,1,4392.6,27.9,16.4,6143,1712,1398.5,4431,214,2215.5,7,13,7,98,19918,22657,2739,419.5,26061,391.3,1532.2,1776.2,53.2,4343,76.4,6.6,17,0,0,50
"8hour_28,800s_4pm_9-4-2021_ch8",zt8,627,4,4,9623,2405.8,3.7,9,11914.2,1,1894.1,1894.1,3,13,1,7,2,1103.6,4.8,56.2,9954.3,476.1,175.7,9478.3,36.6,1354,7,17,7,66,4071.2,18845.6,3257.3,245,25542.6,465.3,239.5,11949,7852.9,8210.9,15.9,1.9,37.1,37.7,7.4,28.6
"8hour_28,800s_4pm-9-5-2021-ch3",zt8,404.7,4,6,2783.5,463.9,3.9,5,8223.1,1,2643.3,2643.3,1,1,0,1,0,81.9,92.7,0,81.9,75.9,NA,6,75.9,6,5,13,5,24,21715.8,28718.1,1575.5,93,27224.5,315.1,1670.4,8299,562.8,6,79.8,0.3,0,10.2,9.7,0
"8hour_28,800s_4pm-9-5-2021-ch4",zt8,1256.5,1,3,825,275,4.1,11,2616.6,1,1976.6,1976.6,4,9,8,1,1,556.5,10.1,100,18909.5,1905.4,1841.2,17004.1,211.7,17004.1,5,15,5,54,4947.3,9890.5,2141.7,221.8,26658.4,428.3,329.8,11795.9,208.4,17004.1,18.6,7.1,63.8,3.1,7.4,100
"8h_28,800s_4pm_9-11-2021_ch1",zt8,264.3,3,2,100.1,50,6.6,21,7336.4,2,10202.9,5101.4,0,8,5,2,1,339.4,12.3,37.7,9206.8,1128.5,838.9,8078.4,141.1,4039.2,3,11,3,64,6201.2,19593.2,3089,422.4,25711,1029.7,563.7,7392,180.7,7794.6,24.1,4.4,31.4,0.4,39.7,50
"8h_28,800s_4pm_9-11-2021_ch2",zt8,185.7,2,0,NA,NA,2.8,0,2643.4,1,73.1,73.1,7,6,0,6,2,1065.7,2.1,72.7,19203.1,398.9,NA,18804.2,66.5,3134,9,13,10,3,1055.2,9596.9,8468.6,8.3,20331.4,846.9,81.2,2934,2436.5,17876.4,5.2,2,92.5,0,0.4,33.3
4am_10-17-2021-ch2,zt20,464.9,1,0,NA,NA,3.8,12,2105.3,1,896.3,896.3,0,3,1,2,2,1351.6,0.5,98.7,26457.7,139.4,32.6,26318.3,46.5,13159.1,1,4,1,12,981.1,2342.3,464.9,45.2,28335.1,464.9,245.3,2142.1,63.1,25003.5,3.5,0.5,92.9,0,3.2,100
4am_10-17-2021-ch5,zt20,243.6,4,0,NA,NA,3.6,8,3503.1,0,NA,NA,0,3,0,3,1,138.4,3.3,96.8,25296.9,822.3,NA,24474.6,274.1,8158.2,4,4,4,33,2362,3503.1,1141.1,118.9,27658.9,285.3,590.5,3528.6,735.8,24346.8,8.5,3,88.5,0,0,33.3
4am_10-17-2021-ch7,zt20,331.7,2,3,94.6,31.5,3.9,5,2493,5,1079,215.8,0,3,1,2,1,105.8,6.5,91.8,25807.9,1681.8,59.4,24126.1,560.6,12063,2,12,2,10,1480.6,2992.1,337.9,39.2,28462.1,168.9,123.4,2527.6,43.5,24054.8,5.2,5.9,84.8,0.3,3.8,50
