Rec,Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F ,Total duration of F ,Mean duration of F,Mean Duration of pd,Average number of pd per probe ,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
"8hour_28,800s_12pm_7-26-2021-ch2",zt4,1.1,1,0,NA,NA,4.7,16,4147.8,7,7639.5,1091.4,3,6,3,3,2,1551,6.4,53.9,14140,905.2,679.4,13234.9,150.9,4411.6,4,16,4,64,5338.1,14660,1682.4,298.3,27117.7,420.6,333.6,4242.3,128.3,11759.3,19.7,3.3,48.8,0,28.2,66.7
"8hour_28,800s_12pm_7-26-2021-ch4",zt4,90.9,17,0,NA,NA,5.8,3,5856.4,1,12608.9,12608.9,6,5,2,3,1,70.9,2.5,27.1,6376.8,156.4,96,6220.4,31.3,2073.5,23,28,23,67,6737.9,22423.2,3076.4,387.7,25723.6,133.8,240.6,5871.2,514.7,6115.4,26.2,0.6,24.2,0,49,33.3
"8hour_28,000s_12pm-8-5-2021-ch1",zt4,41.8,7,0,NA,NA,4.4,5,6238.3,1,2852.5,2852.5,0,8,2,5,4,1138.8,11.3,83.9,21296.9,2410.7,497.7,18886.2,301.3,3777.2,7,13,7,37,3247.3,7503.1,1403.4,161.2,27396.7,200.5,249.8,6282.7,708.3,9722.6,11.9,8.8,68.9,0,10.4,80
"8hour_28,800s_12pm_8-5-2021-ch2",zt4,361,8,0,NA,NA,4.6,5,6768.4,1,1359.5,1359.5,0,3,2,1,1,469.7,10.2,100,21827.6,2229.5,480.4,19598.1,743.2,19598.1,8,11,8,43,3290.7,6972.4,2322.2,198.2,26477.8,290.3,299.2,9201.9,52.3,19598.1,12.4,8.4,74,0,5.1,100
"8hour_28,800s_12pm_8-5-2021-ch4",zt4,110,3,0,NA,NA,12.2,12,4533.9,0,NA,NA,0,3,0,3,1,588.1,0.3,96.9,23553.5,69.9,NA,23483.5,23.3,7827.8,3,5,3,36,3502.7,5246.6,1743.8,438.4,27056.2,581.3,700.5,4557.1,52.4,22838.4,12.9,0.3,86.8,0,0,33.3
"8hour_28,800s_12pm_8-5-2021-ch7",zt4,85.5,11,2,302.1,151.1,3.9,6,8029.4,0,NA,NA,0,1,0,1,1,20770.6,0.2,100,20770.6,35.7,NA,20734.9,35.7,20734.9,11,13,11,64,6069.3,8029.4,1657.9,252.1,27142.1,150.7,466.9,8065.1,46.6,20734.9,22.4,0.1,76.4,1.1,0,100
"8hour_28,800s-12pm-8-9-2021-ch1",zt4,40.1,3,0,NA,NA,11.9,9,1766.4,4,1594.3,398.6,12,30,2,20,4,2561.6,13.2,34,10502.9,1388.5,174.5,9114.4,46.3,455.7,15,37,15,142,13066.4,18297.1,3636.4,1688.8,25163.5,242.4,353.1,2004.7,72.2,2637,51.9,5.5,36.2,0,6.3,20
"8hour_28,800s-12pm-8-9-2021-ch3",zt4,265.2,2,0,NA,NA,15.1,7,3731,0,NA,NA,6,5,0,4,3,1104.2,8.6,84.5,23150.6,1998.7,NA,21151.9,399.7,5288,8,10,8,56,5187.3,5649.5,462.1,846.9,28337.9,57.8,518.7,3765.3,87.7,11978,18.3,7.1,74.6,0,0,75
"8hour_28,800s-12pm-8-9-2021-ch4",zt4,76.6,7,0,NA,NA,5.1,6,2528.4,10,14.2,1.4,0,2,0,2,2,6443.4,0.1,100,26271.6,38.4,NA,26233.3,19.2,13116.6,7,17,7,40,2192.6,2528.4,321.6,205.7,28478.5,45.9,129,2559.8,246.8,19821.3,7.7,0.1,92.1,0,0,100
"8hour_28,800s-12pm-8-9-2021-ch5",zt4,212.5,10,1,2346.8,2346.8,18.6,6,7362.6,2,209.4,104.7,19,24,5,12,4,177.3,21.6,40.3,10991.3,2377.8,956.8,8613.5,99.1,717.8,29,45,29,163,12659.3,17808.7,2593.2,3023.9,26206.8,89.4,281.3,7412.8,780.2,4200.5,48.3,9.1,32.9,9,0.8,33.3
"8hour_28,800s_12pm-8-12-21-ch2",zt4,414,1,14,3169.4,226.4,43.4,14,1066.9,0,NA,NA,7,20,1,14,2,3409.1,12.3,39,12324.5,1512.1,7.8,10812.4,75.6,772.3,8,30,8,109,12048.6,16475.5,1257.5,4730,27542.5,157.2,401.6,1099.6,36.7,5781.2,43.7,5.5,39.3,11.5,0,14.3
"8hours_28,800s_12pm-8-12-21-ch4",zt4,558.3,1,0,NA,NA,3.9,10,588.3,0,NA,NA,0,5,0,4,2,5.2,0.2,96.8,27355.1,59.8,NA,27295.3,12,6823.8,1,4,1,10,886.6,1444.9,558.3,39,28241.7,558.3,221.7,591,71.4,21973.3,3.1,0.2,96.6,0,0,50
"8hours_28,800s_12pm-8-12-21-ch7",zt4,322.5,2,0,NA,NA,51.3,2,1799.2,5,7733.8,1546.8,17,36,1,30,2,81.8,12.5,22.6,6971,871.3,23.3,6099.7,24.2,203.3,19,40,19,39,9490.6,21829,4604.7,2002.1,24195.3,242.4,237.3,1867.4,91.4,1749.2,39.2,3.6,25.2,0,32,6.7
"8hours_28,800s_12pm_8-13-2021-ch1",zt4,1384,6,6,225.9,37.6,4.7,13,5844.5,1,112.6,112.6,0,7,0,5,1,15806.5,2.3,71.2,16693.9,382.1,NA,16311.9,54.6,3262.4,6,18,6,80,9360.4,12106.1,2407.2,372.2,26392.8,401.2,520,5900.2,9.1,15750.8,35.5,1.4,61.8,0.9,0.4,20
12am_10-7-2021-ch1,zt16,76.5,4,3,4846,1615.3,4.4,10,6436.6,4,3954.6,988.7,7,20,3,14,3,328.1,11.8,55.4,14030.3,1658,91.2,12372.4,82.9,883.7,11,32,11,110,5279.9,14769.6,689.1,486,28110.9,62.6,165,6471.6,33.5,8846.7,18.8,5.9,44,17.2,14.1,21.4
12am_10-7-2021-ch3,zt16,393.9,5,1,2732.5,2732.5,4.1,9,5659.8,0,NA,NA,2,2,1,1,1,436.2,2.7,100,21914,583.5,436.2,21330.5,291.8,21330.5,7,8,7,60,3381,6886,772.5,243.7,28027.5,110.4,422.6,7469.5,122.8,21330.5,12.1,2.1,76.1,9.7,0,100
12am_10-7-2021-ch5,zt16,284.1,1,0,NA,NA,4.7,12,774.4,4,357.2,89.3,12,19,2,15,7,7461.4,10.2,58.4,18163.1,1844.8,95.3,16318.3,97.1,1087.9,13,31,13,155,9120.6,10636.9,1159.1,721.2,27640.9,89.2,294.2,847.1,8.2,7388.6,33,6.7,59,0,1.3,46.7
12am_10-7-2021-ch7,zt16,166.9,1,2,995.2,497.6,4.7,23,4687.4,2,2926.9,1463.4,2,24,3,20,5,30,55.1,42.5,20249.7,11163.5,336.6,9086.1,465.1,454.3,3,12,3,68,4201.4,8550.3,426.8,321.6,28373.2,142.3,350.1,7395.9,19.9,3545.6,14.8,39.3,32,3.5,10.3,25
