Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F,Total duration of F,Mean duration of F,Mean Duration of pd,Average number of pd per probe,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
zt00,401.9,4,1,1170.8,920.3,6.1,11,3779.5,1,56.6,56.6,5,6,4,3,2,687.8,17.5,66.8,17561.4,2457.3,1177.5,15134.8,363.7,5387.9,9,20,9,68,6763.9,11238.6,3135.2,305.4,25664.8,368.2,383.5,6158.8,38.8,9770.4,26.9,9.8,55.9,2.7,0.1,50
zt04,161.25,4.5,0,1324.45,188.75,5.449999999999999,6.5,4340.85,1,1594.3,1091.4,1.5,5.5,1,4,2,1121.5,7.5,77.55000000000001,18732.25,888.25,327.45,17599.05,50.45,4094.4,8,16.5,8,60,5703.700000000001,10067.75,1713.1,379.95,27086.95,221.45,316.4,4399.700000000001,79.95,11868.65,21.049999999999997,3.45,65.35,0,0.6000000000000001,41.65
zt08,404.7,4,0,1398.5,463.9,4.3,8,3414.6,1,2309.95,2309.95,2,7,1,2,2,975.9,8.3,72.7,18909.5,1128.5,768.45,17004.1,151.7,3134,5,13,5,37,4797,9890.5,1575.5,174.3,27224.5,391.3,428.8,7897.3,391.7,14673.2,17.2,4.2,63.8,0,0.4,50
zt12,429.75,2,1,3732.3,666.2,4.2,10.5,4588.549999999999,1,2846.95,2599.65,3.5,8.5,2.5,5.5,2,1668.4,9.6,60.3,16852.800000000003,1484,380.6,13726.4,203.14999999999998,2013.4,8.5,17,9,73.5,5174.9,11947.2,1229.6,318.6,27570.4,167.55,351.4,4882.6,81.35,10962.6,18.7,5.300000000000001,48.15,0.95,0.55,40
zt16,240.95,3,2,2316.55,869.2,4.15,10.5,3434.5,2,1760.6,547.7,2.5,11.5,3,5,2.5,1839.0500000000002,6.5,68.3,19206.4,1206.05,349.95000000000005,16603.25,117.69999999999999,2854.9,6.5,14.5,6.5,66.5,3970.6499999999996,9593.599999999999,627.75,322.8,28172.25,107.1,274.85,3482.7,32.2,9289.95,13.95,4.3,59.15,6.65,1.9,48.35
zt20,324.1,3,3,3016.6,754.1,4.2,8,3602.45,0.5,923.5,896.3,0.5,5,1.5,3,1,326.75,4.6,94.05,23338.35,906.95,129.4,22331.4,209.10000000000002,8312.95,4,10,4,33,2312.6,5461.65,745.45,136.25,28054.550000000003,230.2,248.4,4228.6,83.55,21290,8.35,3.35,80.15,6.300000000000001,0,66.7
Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F,Total duration of F,Mean duration of F,Mean Duration of pd,Average number of pd per probe,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
zt00,401.9,4,1,1170.8,920.3,6.1,11,3779.5,1,56.6,56.6,5,6,4,3,2,687.8,17.5,66.8,17561.4,2457.3,1177.5,15134.8,363.7,5387.9,9,20,9,68,6763.9,11238.6,3135.2,305.4,25664.8,368.2,383.5,6158.8,38.8,9770.4,26.9,9.8,55.9,2.7,0.1,50
zt04,161.25,4.5,0,1324.45,188.75,5.449999999999999,6.5,4340.85,1,1594.3,1091.4,1.5,5.5,1,4,2,1121.5,7.5,77.55000000000001,18732.25,888.25,327.45,17599.05,50.45,4094.4,8,16.5,8,60,5703.700000000001,10067.75,1713.1,379.95,27086.95,221.45,316.4,4399.700000000001,79.95,11868.65,21.049999999999997,3.45,65.35,0,0.6000000000000001,41.65
zt08,404.7,4,0,1398.5,463.9,4.3,8,3414.6,1,2309.95,2309.95,2,7,1,2,2,975.9,8.3,72.7,18909.5,1128.5,768.45,17004.1,151.7,3134,5,13,5,37,4797,9890.5,1575.5,174.3,27224.5,391.3,428.8,7897.3,391.7,14673.2,17.2,4.2,63.8,0,0.4,50
zt12,429.75,2,1,3732.3,666.2,4.2,10.5,4588.549999999999,1,2846.95,2599.65,3.5,8.5,2.5,5.5,2,1668.4,9.6,60.3,16852.800000000003,1484,380.6,13726.4,203.14999999999998,2013.4,8.5,17,9,73.5,5174.9,11947.2,1229.6,318.6,27570.4,167.55,351.4,4882.6,81.35,10962.6,18.7,5.300000000000001,48.15,0.95,0.55,40
zt16,240.95,3,2,2316.55,869.2,4.15,10.5,3434.5,2,1760.6,547.7,2.5,11.5,3,5,2.5,1839.0500000000002,6.5,68.3,19206.4,1206.05,349.95000000000005,16603.25,117.69999999999999,2854.9,6.5,14.5,6.5,66.5,3970.6499999999996,9593.599999999999,627.75,322.8,28172.25,107.1,274.85,3482.7,32.2,9289.95,13.95,4.3,59.15,6.65,1.9,48.35
zt20,324.1,3,3,3016.6,754.1,4.2,8,3602.45,0.5,923.5,896.3,0.5,5,1.5,3,1,326.75,4.6,94.05,23338.35,906.95,129.4,22331.4,209.10000000000002,8312.95,4,10,4,33,2312.6,5461.65,745.45,136.25,28054.550000000003,230.2,248.4,4228.6,83.55,21290,8.35,3.35,80.15,6.300000000000001,0,66.7
Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F,Total duration of F,Mean duration of F,Mean Duration of pd,Average number of pd per probe,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
zt00,111.37998412729969,0.7718024438583225,0.5299662230094142,760.5080060941723,716.2192426981499,0.49159604012508745,2.106720580650949,885.5379080564188,0.4843221048378526,1574.4766157679192,521.7176519919562,0.9196080754026027,2.111111111111111,0.7222222222222222,1.0900787150193658,0.36430214023900004,1263.891567420849,5.95836894576252,9.35098034076285,2295.8530632613274,392.9188445012501,273.9276856114482,2083.3609978681734,106.5978442616668,2254.0181277684173,1.2247448713915892,2.3576772415469938,1.2247448713915892,12.108434974465702,1058.423008799202,2295.8530632613274,839.8203238722489,74.90959262939049,839.8265840246828,83.17111563102085,42.83734344969539,700.6023285117236,539.8707121462817,2246.063241485663,4.670160728986519,1.379691770909738,7.241484995377095,2.1043898854830716,4.447932658918254,12.52367757489788
